FBID	CG	name	GO
"FBgn0000462"	"CG6667"	"dl"	"positive regulation of transcription from Pol II promoter positive regulation of transcription, DNA-dependent negative regulation of transcription, DNA-dependent transcriptional repressor transcriptional activator dorsal/ventral axis specification mesoderm cell fate specification immune response defense response cytoplasm nucleus RNA polymerase II transcription factor ectoderm cell fate specification negative regulation of transcription from Pol II promoter regulation of transcription negative regulation of transcription morphogen dorsal/ventral pattern formation Tl receptor signaling pathway heart development mesoderm development ventral cord development ectoderm development gastrulation transcription factor DNA binding specific RNA polymerase II transcription factor maternal determination of anterior/posterior axis, embryo"
"FBgn0000473"	"CG9438"	"Cyp6a2"	"cytochrome P450 microsome membrane response to insecticide"
"FBgn0000486"	"CG10484"	"Dox-A2"	"proteasome endopeptidase 26S proteasome 19S proteasome regulatory particle 19S proteasome regulatory particle, lid subcomplex phenol metabolism proteolysis and peptidolysis"
"FBgn0000504"	"CG11094"	"dsx"	"sex comb development male courtship behavior (sensu Drosophila), song production male courtship behavior (sensu Drosophila) sex differentiation central nervous system development RNA polymerase II transcription factor DNA binding female analia morphogenesis (sensu Holometabola) male analia morphogenesis (sensu Holometabola) male somatic sex determination female somatic sex determination somatic sex determination zinc ion binding courtship behavior sex determination female genital morphogenesis (sensu Holometabola) male genital morphogenesis (sensu Holometabola) genital disc metamorphosis transcription from Pol II promoter mRNA binding specific RNA polymerase II transcription factor transcription factor nucleus"
"FBgn0000529"	"CG10604"	"bsh"	"brain development nucleus RNA polymerase II transcription factor transcription factor"
"FBgn0000533"	"CG4920"	"ea"	"dorsal/ventral axis specification peptidase Tl receptor signaling pathway maternal determination of dorsal/ventral axis, oocyte, germ-line encoded proteolysis and peptidolysis serine-type peptidase defense response extracellular serine-type endopeptidase monophenol monooxygenase activator"
"FBgn0000536"	"CG3525"	"eas"	"choline kinase phosphorylation phosphatidylethanolamine biosynthesis ethanolamine kinase response to mechanical stimulus mechanosensory behavior"
"FBgn0000564"	"CG5400"	"Eh"	"neuropeptide hormone eclosion hormone adult behavior (sensu Insecta) neuropeptide signaling pathway eclosion regulation of eclosion ecdysis (sensu Insecta)"
"FBgn0000565"	"CG7266"	"Eip71CD"	"protein-methionine-S-oxide reductase sulfur amino acid metabolism"
"FBgn0000566"	"CG5345"	"Eip55E"	"cystathionine-gamma-lyase sulfur amino acid metabolism"
"FBgn0000579"	"CG17654"	"Eno"	"glycolysis phosphopyruvate hydratase"
"FBgn0000625"	"CG10488"	"eyg"	"salivary gland morphogenesis transcription factor nucleus specific RNA polymerase II transcription factor"
"FBgn0000636"	"CG5803"	"Fas3"	"plasma membrane septate junction basolateral plasma membrane integral to membrane synaptic target recognition synaptic target attraction calcium-dependent cell-cell adhesion homophilic cell adhesion axon guidance axonogenesis fasciculation of neuron"
"FBgn0000639"	"CG17285"	"Fbp1"	"protein transporter storage protein uptake"
"FBgn0000675"	""	"flp"	""
"FBgn0000808"	"CG1505"	"gd"	"peptidase serine-type peptidase serine-type endopeptidase pancreatic elastase extracellular Tl receptor signaling pathway proteolysis and peptidolysis protein processing dorsal/ventral axis specification maternal determination of dorsal/ventral axis, oocyte, germ-line encoded"
"FBgn0001077"	"CG2047"	"ftz"	"specific RNA polymerase II transcription factor nucleus regulation of transcription from Pol II promoter periodic partitioning by pair rule gene"
"FBgn0001091"	"CG12055"	"Gapdh1"	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) cytoplasm glycolysis"
"FBgn0001114"	"CG9280"	"Glt"	"calcium ion binding basement membrane"
"FBgn0001128"	"CG9042"	"Gpdh"	"glycerophosphate shuttle cytoplasm glycerol-3-phosphate dehydrogenase (NAD+)"
"FBgn0001142"	"CG2718"	"Gs1"	"glutamate-ammonia ligase glutamate synthase mitochondrion"
"FBgn0001147"	"CG2692"	"gsb-n"	"specific RNA polymerase II transcription factor nucleus segment polarity determination"
"FBgn0001150"	"CG7952"	"gt"	"DNA binding specific RNA polymerase II transcription factor specific transcriptional repressor nucleus torso receptor signaling pathway negative regulation of transcription from Pol II promoter zygotic determination of anterior/posterior axis, embryo terminal region determination salivary gland development"
"FBgn0001168"	"CG6494"	"h"	"specific RNA polymerase II transcription factor general transcriptional repressor specific transcriptional repressor nucleus restriction of R8 fate negative regulation of transcription negative regulation of transcription, DNA-dependent negative regulation of transcription from Pol II promoter bristle morphogenesis periodic partitioning by pair rule gene"
"FBgn0001169"	"CG5460"	"H"	"transcription co-repressor nucleus N receptor signaling pathway negative regulation of N receptor signaling pathway determination of sensory organ precursor cell fate sensory organ determination"
"FBgn0001208"	"CG7399"	"Hn"	"phenylalanine catabolism tryptophan 5-monooxygenase phenylalanine 4-monooxygenase eye pigment biosynthesis"
"FBgn0001216"	"CG8937"	"Hsc70-1"	"response to heat adenosinetriphosphatase heat shock protein"
"FBgn0001218"	"CG4147"	"Hsc70-3"	"response to heat endoplasmic reticulum adenosinetriphosphatase heat shock protein"
"FBgn0001220"	"CG8542"	"Hsc70-5"	"adenosinetriphosphatase heat shock protein mitochondrion response to heat"
"FBgn0001223"	"NA"	"Hsp22 "	"NA"
"FBgn0001230"	"CG5436"	"Hsp68"	"response to heat heat shock protein"
"FBgn0001297"	"CG15509"	"kay"	"DNA binding transcription factor RNA polymerase II transcription factor specific RNA polymerase II transcription factor transcription factor binding cytoplasm nucleus JNK cascade response to wounding follicle cell migration dorsal closure imaginal disc fusion, thorax closure"
"FBgn0001325"	"CG3340"	"Kr"	"DNA binding chromatin binding specific RNA polymerase II transcription factor transcriptional repressor specific transcriptional repressor nucleus neuroblast cell fate determination negative regulation of transcription from Pol II promoter axon guidance Malpighian tubule morphogenesis zygotic determination of anterior/posterior axis, embryo eye morphogenesis (sensu Drosophila) muscle development"
"FBgn0002036"	"CG10561"	""	"cytoplasm"
"FBgn0002528"	"CG3322"	"LanB2"	"basement membrane basal lamina embryonic morphogenesis organogenesis histogenesis"
"FBgn0002562"	"CG2559"	"Lsp1alpha"	"nutrient reservoir extracellular larval serum protein complex"
"FBgn0002565"	"CG6806"	"Lsp2"	"nutrient reservoir extracellular larval serum protein complex"
"FBgn0002569"	"CG8694"	"LvpD"	"glucose metabolism alpha-glucosidase"
"FBgn0002570"	"CG8696"	"LvpH"	"glucose metabolism alpha-glucosidase"
"FBgn0002571"	"CG8695"	"LvpL"	"glucose metabolism alpha-glucosidase"
"FBgn0002579"	"CG7622"	"RpL36"	"structural constituent of ribosome cytosolic large ribosomal subunit (sensu Eukarya) ribosome protein biosynthesis"
"FBgn0002609"	"CG8346"	"HLHm3"	"eye morphogenesis (sensu Drosophila) transcription factor specific transcriptional repressor N receptor signaling pathway nucleus DNA binding negative regulation of transcription from Pol II promoter"
"FBgn0002622"	"CG6779"	"RpS3"	"protein biosynthesis DNA repair cytosolic small ribosomal subunit (sensu Eukarya) ribosome cytoplasm nucleus DNA-(apurinic or apyrimidinic site) lyase structural constituent of ribosome"
"FBgn0002719"	"CG10120"	"Men"	"malate dehydrogenase (oxaloacetate decarboxylating) (NADP+)"
"FBgn0002735"	"CG8333"	"HLHmgamma"	"eye morphogenesis (sensu Drosophila) transcription factor negative regulation of transcription from Pol II promoter specific transcriptional repressor negative regulation of transcription neurogenesis N receptor signaling pathway nucleus DNA binding"
"FBgn0002741"	"CG17927"	"Mhc"	"structural constituent of muscle striated muscle contraction myosin myosin ATPase muscle myosin muscle motor striated muscle thick filament geneCG9712(TSG101)3L  73D1-73D1AE003526AE003526FBgn0036666"
"FBgn0002772"	"CG5596"	"Mlc1 "	"muscle contraction muscle myosin muscle motor myosin myosin ATPase calcium ion binding"
"FBgn0002773"	"CG2184"	"Mlc2 "	"muscle myosin calcium ion binding muscle motor myosin myosin ATPase"
"FBgn0002778"	"CG3297"	"mnd"	"amino acid transporter"
"FBgn0002789"	"CG4696"	"Mp20"	"muscle fiber calcium ion binding actin binding"
"FBgn0002869"	"CG4312"	"MtnB"	"metal ion homeostasis copper/cadmium binding heavy metal binding"
"FBgn0002926"	"CG10129"	"ndl"	"peptidase serine-type peptidase serine-type endopeptidase extracellular Tl receptor signaling pathway proteolysis and peptidolysis protein processing dorsal/ventral axis specification oocyte dorsal/ventral axis determination maternal determination of dorsal/ventral axis, oocyte, soma encoded insect chorion formation"
"FBgn0002945"	"CG11614"	"nkd"	"frizzled receptor signaling pathway"
"FBgn0003015"	"CG10901"	"osk"	"regulation of oskar mRNA translation pole plasm protein localization pole plasm assembly oocyte anterior/posterior axis determination pole cell determination polar granule"
"FBgn0003071"	"CG4001"	"Pfk"	"glycolysis 6-phosphofructokinase"
"FBgn0003075"	"CG3127"	"Pgk"	"glycolysis cytoplasm phosphoglycerate kinase"
"FBgn0003091"	"CG6622"	"Pkc53E"	"diacylglycerol binding protein serine/threonine kinase protein kinase C calcium dependent protein kinase C diacylglycerol-activated/phospholipid dependent protein kinase C protein amino acid phosphorylation"
"FBgn0003149"	"CG5939"	"Prm"	"structural constituent of muscle striated muscle thick filament"
"FBgn0003162"	"CG9441"	"Pu"	"GTP cyclohydrolase I tetrahydrobiopterin biosynthesis ommochrome biosynthesis"
"FBgn0003174"	"CG11101"	"pwn"	"phototransduction"
"FBgn0003178"	"CG7070"	"PyK"	"glycolysis pyruvate kinase"
"FBgn0003276"	"CG3180"	"RpII140"	"DNA-directed RNA polymerase II DNA-directed RNA polymerase II, core complex transcription from Pol II promoter"
"FBgn0003279"	"CG5502"	"RpL1"	"protein biosynthesis cytosolic large ribosomal subunit (sensu Eukarya) structural constituent of ribosome"
"FBgn0003292"	"CG6097"	"rt"	"dolichyl-phosphate-mannose-protein mannosyltransferase"
"FBgn0003308"	"CG7642"	"ry"	"xanthine dehydrogenase peroxisome"
"FBgn0003358"	"CG31039"	"Ser99Dc"	"serine-type endopeptidase digestion"
"FBgn0003411"	"CG1641"	"sisA"	"sex determination, establishment of X:A ratio sex determination transcription factor nucleus primary sex determination posterior midgut development anterior midgut development endoderm development"
"FBgn0003416"	"CG4200"	"sl"	"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase"
"FBgn0003471"	"CG5870"	"beta-Spec"	"apicolateral plasma membrane plasma membrane organization and biogenesis spectrin calmodulin binding actin binding cytoskeletal protein binding calcium ion binding actin cross-linking neuromuscular synaptic transmission spectrosome fusome microtubule binding plasma membrane"
"FBgn0003480"	"CG3325"	"spn-B"	"chromosome condensation oogenesis meiotic recombination DNA repair DNA recombination recombinase"
"FBgn0003499"	"CG7847"	"sr"	"pigment metabolism determination of muscle attachment site nucleus RNA polymerase II transcription factor muscle development central nervous system development"
"FBgn0003710"	"CG1232"	"tipE"	"voltage-gated sodium channel plasma membrane integral to plasma membrane sodium ion transport"
"FBgn0003716"	"CG14026"	"tkv"	"protein kinase type I transforming growth factor-beta receptor plasma membrane TGFbeta receptor signaling pathway BMP receptor signaling pathway TGFbeta receptor complex assembly protein amino acid phosphorylation dorsal closure wing morphogenesis heart development anterior/posterior pattern formation, imaginal disc negative regulation of salivary gland determination tracheal system development (sensu Insecta)"
"FBgn0003749"	"CG6883"	"trh"	"transcription factor RNA polymerase II transcription factor protein binding nucleus tracheal cell fate determination (sensu Insecta) regulation of transcription from Pol II promoter salivary gland development salivary gland morphogenesis tracheal system development (sensu Insecta)"
"FBgn0003863"	"CG18444"	"alphaTry"	"trypsin extracellular proteolysis and peptidolysis"
"FBgn0003867"	"CG6705"	"tsl"	"torso receptor signaling pathway torso binding"
"FBgn0003884"	"CG1913"	"alphaTub84B"	"tubulin microtubule GTP binding structural constituent of cytoskeleton"
"FBgn0003892"	"CG2411"	"ptc"	"patched receptor integral to plasma membrane integral to membrane smoothened receptor signaling pathway negative regulation of smoothened receptor signaling pathway regulation of mitotic cell cycle embryonic pattern specification blastoderm segmentation eye-antennal disc metamorphosis peripheral nervous system development"
"FBgn0003961"	"CG7171"	"Uro"	"urate oxidase peroxisome allantoin biosynthesis"
"FBgn0003979"	"CG9048"	"Vm26Aa"	"structural constituent of vitelline membrane (sensu Insecta) oogenesis vitelline membrane formation"
"FBgn0004002"	"CG15288"	"wb"	"binding basement membrane basal lamina cell-cell signaling"
"FBgn0004003"	"CG7225"	"wbl"	"Tl receptor signaling pathway maternal determination of dorsal/ventral axis, oocyte, soma encoded endoplasmic reticulum dorsal/ventral axis specification protein processing protein-Golgi targeting"
"FBgn0004028"	"CG7178"	"wupA"	"actin binding tropomyosin binding troponin complex muscle development neurogenesis"
"FBgn0004053"	"CG1046"	"zen"	"dorsal/ventral axis specification dorsal/ventral pattern formation, imaginal disc nucleus specific RNA polymerase II transcription factor"
"FBgn0004102"	"CG12154"	"oc"	"RNA polymerase II transcription factor nucleus ocellus morphogenesis neurogenesis"
"FBgn0004117"	"CG4843"	"Tm2 "	"muscle thin filament tropomyosin actin binding"
"FBgn0004118"	"CG6798"	"nAcRbeta-96A"	"nicotinic acetylcholine-activated cation-selective channel integral to plasma membrane nicotinic acetylcholine-gated receptor-channel complex"
"FBgn0004167"	"CG12008"	"kst"	"apicolateral plasma membrane plasma membrane organization and biogenesis cytoskeletal protein binding spectrin microtubule binding actin binding"
"FBgn0004170"	"CG3827"	"sc"	"DNA binding specific RNA polymerase II transcription factor transcriptional activator nucleus neuroblast cell fate determination regulation of transcription, DNA-dependent bristle morphogenesis neurogenesis central nervous system development peripheral nervous system development dosage compensation sex determination sex determination, establishment of X:A ratio"
"FBgn0004179"	"CG6395"	"Csp"	"chaperone synaptic vesicle plasma membrane neurotransmitter secretion synaptic vesicle uncoating synaptic vesicle exocytosis synaptic vesicle fusion exocytosis"
"FBgn0004227"	"CG4211"	"nonA"	"male courtship behavior (sensu Drosophila), song production vision RNA binding phototaxis visual behavior pre-mRNA splicing factor poly-pyrimidine tract binding mRNA splicing spliceosome complex"
"FBgn0004228"	"CG7936"	"mex1"	"embryonic morphogenesis midgut development"
"FBgn0004240"	"CG12763"	"Dpt"	"antibacterial peptide Gram-negative antibacterial peptide antibacterial humoral response (sensu Invertebrata)"
"FBgn0004359"	""	"T48"	""
"FBgn0004360"	"CG1916"	"Wnt2"	"receptor binding signal transducer extracellular Wnt receptor signaling pathway frizzled-2 receptor signaling pathway tracheal system development (sensu Insecta)"
"FBgn0004364"	"CG8896"	"18w"	"antibacterial humoral response (sensu Invertebrata) integral to membrane signal transduction plasma membrane transmembrane receptor morphogenesis immune response cell adhesion cytoplasm membrane fraction cell adhesion molecule"
"FBgn0004369"	"CG2005"	"Ptp99A"	"protein tyrosine phosphatase transmembrane receptor protein tyrosine phosphatase plasma membrane protein amino acid dephosphorylation motor axon guidance defasciculation of neuron defasciculation of motor neuron"
"FBgn0004396"	"CG7450"	"CrebA "	"salivary gland morphogenesis transcription from Pol II promoter nucleus transcription factor DNA binding RNA polymerase II transcription factor"
"FBgn0004425"	"CG1179"	"LysB"	"lysozyme antimicrobial humoral response (sensu Invertebrata)"
"FBgn0004426"	"CG9111"	"LysC"	"lysozyme antimicrobial humoral response (sensu Invertebrata)"
"FBgn0004427"	"CG9118"	"LysD"	"lysozyme antimicrobial humoral response (sensu Invertebrata)"
"FBgn0004428"	"CG1180"	"LysE"	"antimicrobial humoral response (sensu Invertebrata) lysozyme"
"FBgn0004507"	"CG7254"	"GlyP"	"phosphorylase glycogen phosphorylase carbohydrate metabolism"
"FBgn0004618"	"CG7672"	"gl"	"eye photoreceptor development (sensu Drosophila) nucleus transcription factor specific RNA polymerase II transcription factor photoreceptor commitment (sensu Drosophila)"
"FBgn0004629"	"CG8050"	"Cys"	"cysteine protease inhibitor"
"FBgn0004652"	"CG14307"	"fru"	"transcription factor RNA polymerase II transcription factor nucleus male courtship behavior male courtship behavior (sensu Drosophila) male courtship behavior (sensu Drosophila), orientation male courtship behavior (sensu Drosophila), wing vibration male courtship behavior (sensu Drosophila), song production copulation sex determination"
"FBgn0004781"	"CG1327"	"Ccp84Ac"	"structural constituent of larval cuticle (sensu Insecta)"
"FBgn0004882"	"CG10868"	"orb"	"oocyte determination germ-cell development uridine-rich cytoplasmic polyadenylation element binding mRNA polyadenylation RNA binding"
"FBgn0004888"	"CG1065"	"Scsalpha"	"succinate-CoA ligase complex (GDP-forming) (sensu Eukarya) tricarboxylic acid cycle succinate-CoA ligase (GDP-forming)"
"FBgn0004893"	"CG10021"	"bowl"	"RNA polymerase II transcription factor nucleus hindgut morphogenesis"
"FBgn0004897"	"CG11921"	"fd96Ca"	"embryonic morphogenesis nucleus transcription factor"
"FBgn0004898"	"CG11922"	"fd96Cb"	"embryonic morphogenesis nucleus transcription factor"
"FBgn0005278"	"CG2674"	"M(2)21AB"	"methionine adenosyltransferase S-adenosylmethionine biosynthesis one-carbon compound metabolism"
"FBgn0005427"	"CG3114"	"ewg"	"muscle development DNA binding nucleus specific RNA polymerase II transcription factor central nervous system development"
"FBgn0005626"	"CG10118"	"ple"	"tyrosine 3-monooxygenase regulation of dopamine metabolism courtship behavior catecholamine metabolism"
"FBgn0005633"	"CG7445"	"fln"	"muscle fiber striated muscle thick filament"
"FBgn0005648"	"CG2163"	"Pabp2"	"poly(A) binding mRNA polyadenylation nucleus RNA binding"
"FBgn0005654"	"CG4088"	"lat"	"olfactory learning larval feeding behavior (sensu Insecta) learning learning and/or memory DNA replication DNA binding origin recognition complex DNA replication initiation"
"FBgn0005670"	"CG3656"	"Cyp4d1"	"membrane cytochrome P450 microsome"
"FBgn0005677"	"CG4952"	"dac"	"RNA polymerase II transcription factor nucleus nucleoplasm transcription leg disc proximal/distal pattern formation mushroom body development"
"FBgn0008649"	"CG5441"	"dei"	"specific RNA polymerase II transcription factor nucleus transcription factor"
"FBgn0008654"	"CG3905"	"Su(z)2"	"DNA binding nucleus"
"FBgn0010015"	"CG1455"	"CanA1"	"protein serine/threonine phosphatase calcium-dependent protein serine/threonine phosphatase calcium-dependent protein serine/threonine phosphatase, catalyst synaptic vesicle calcineurin complex neurotransmitter secretion synaptic vesicle fusion protein amino acid dephosphorylation "
"FBgn0010051"	"CG1063"	"Itp-r83A"	"inositol-1,4,5-triphosphate receptor endoplasmic reticulum membrane calcium channel molting cycle (sensu Insecta)"
"FBgn0010070"	"CG18251"	"Msp-300"	"cytoskeletal protein binding actin binding"
"FBgn0010226"	"NA"	"Gst2"	"NA"
"FBgn0010246"	"CG9155"	"Myo61F"	"cytoplasm actin binding motor myosin myosin ATPase"
"FBgn0010357"	"CG18211"	"betaTry"	"trypsin extracellular proteolysis and peptidolysis"
"FBgn0010385"	"CG1385"	"Def"	"antibacterial peptide Gram-positive antibacterial peptide antibacterial humoral response (sensu Invertebrata) anti-Gram-positive bacterial polypeptide induction"
"FBgn0010387"	"CG8627"	"Dbi "	"acyl-CoA or acyl binding acyl-CoA homeostasis acyl-CoA binding diazepam-binding inhibitor"
"FBgn0010388"	"CG10816"	"Dro"	"Gram-negative antibacterial peptide Gram-positive antibacterial peptide antibacterial humoral response (sensu Invertebrata) anti-Gram-negative bacterial polypeptide induction"
"FBgn0010389"	"CG7223"	"htl"	"protein tyrosine kinase receptor signaling protein tyrosine kinase fibroblast growth factor receptor plasma membrane integral to membrane FGF receptor signaling pathway mesoderm cell fate commitment protein amino acid phosphorylation germ-cell migration glia cell migration mesoderm cell migration gastrulation mesoderm migration larval visceral muscle development gonadal mesoderm development heart development endoderm development mesoderm development muscle development somatic muscle development visceral muscle development central nervous system development"
"FBgn0010401"	"CG3250"	"Os-C"	"pheromone binding"
"FBgn0010424"	"CG7930"	"TpnC73F"	"calcium ion binding"
"FBgn0010425"	"CG18681"	"epsilonTry"	"trypsin extracellular proteolysis and peptidolysis"
"FBgn0010433"	"CG7508"	"ato"	"DNA binding transcription factor nucleus EGF receptor signaling pathway smoothened receptor signaling pathway activation of MAPK R8 cell fate commitment R8 cell fate specification regulation of transcription, DNA-dependent neurogenesis brain development peripheral nervous system development sensory organ development hearing"
"FBgn0010434"	"CG11949"	"cora"	"cytoskeletal protein binding cytoskeleton fusome spectrosome apicolateral plasma membrane septate junction intercellular junction assembly and/or maintenance septate junction assembly cytoskeleton organization and biogenesis embryonic cuticle biosynthesis (sensu Insecta) dorsal closure embryonic morphogenesis salivary gland morphogenesis"
"FBgn0010470"	"CG9847"	"Fkbp13"	"FK506 binding peptidyl-prolyl cis-trans isomerase"
"FBgn0010550"	"NA"	"zimp"	"NA"
"FBgn0010583"	"CG3727"	"dock"	"SH3/SH2 adaptor protein axon guidance axonogenesis"
"FBgn0010609"	"CG8732"	"l(2)44DEa"	"acetate-CoA ligase"
"FBgn0010638"	"CG10130"	"Sec61beta "	"translocon protein transporter SRP-dependent, co-translational membrane targeting, translocation"
"FBgn0010808"	"CG1715"	"l(3)03670"	"NA"
"FBgn0011211"	"CG3612"	"blw"	"hydrogen-transporting two-sector ATPase mitochondrial inner membrane hydrogen-transporting ATP synthase, catalytic core (sensu Eukarya) hydrogen-transporting two-sector ATPase complex proton transport"
"FBgn0011280"	"CG1668"	"Pbprp2"	"phenylalkylamine binding pheromone binding extracellular"
"FBgn0011281"	"CG11421"	"Pbprp3"	"phenylalkylamine binding extracellular pheromone binding"
"FBgn0011283"	"CG6641"	"Pbprp5"	"phenylalkylamine binding pheromone binding extracellula"
"FBgn0011286"	"CG10844"	"Rya-r44F "	"ryanodine-sensitive calcium-release channel endoplasmic reticulum membrane muscle contraction"
"FBgn0011293"	"CG6642"	"a10"	"odorant binding pheromone binding chemosensory perception"
"FBgn0011296"	"CG4533"	"l(2)efl"	"heat shock protein"
"FBgn0011555"	"CG12385"	"thetaTry"	"trypsin extracellular proteolysis and peptidolysis"
"FBgn0011556"	"CG12387"	"zetaTry"	"trypsin extracellular proteolysis and peptidolysis"
"FBgn0011591"	"CG10580"	"fng"	"transferase, transferring glycosyl groups regulation of N receptor signaling pathway acetylglucosaminyltransferase N receptor signaling pathway positive regulation of N receptor signaling pathway integral to membrane Golgi apparatus wing margin morphogenesis wing morphogenesis egg chamber formation UDP-glycosyltransferase leg disc metamorphosis eye morphogenesis (sensu Drosophila) dorsal/ventral pattern formation, imaginal disc Golgi stack endoplasmic reticulum"
"FBgn0011674"	"CG11312"	"insc"	"cytoskeletal adaptor apical part of cell apical cortex cell cortex cytoplasm neuroblast cell fate determination neuroblast cell division cytoskeleton organization and biogenesis mitotic spindle orientation asymmetric cytokinesis RNA localization protein localization asymmetric protein localization apical protein localization basal protein localization somatic muscle development peripheral nervous system development"
"FBgn0011712"	"CG6625"	"Snap"	"extrinsic to membrane synaptic vesicle priming neurotransmitter secretion ER to Golgi transport soluble NSF attachment protein"
"FBgn0011723"	"CG7260"	"byn"	"DNA binding RNA polymerase II transcription factor nucleus embryonic development (sensu Insecta) hindgut morphogenesis Malpighian tubule morphogenesis midgut development"
"FBgn0011746"	""	"ana"	""
"FBgn0011754"	"CG1830"	"PhKgamma"	"protein amino acid phosphorylation protein serine/threonine kinase phosphorylase kinase, catalyst glucose catabolism phosphorylase kinase complex embryonic morphogenesis"
"FBgn0011758"	"CG5529"	"B-H1"	"nucleus specific RNA polymerase II transcription factor"
"FBgn0011769"	"CG4205"	"Fdxh"	"iron-sulfur electron transfer carrier electron transporter"
"FBgn0011770"	"CG2227"	"Gip"	"NA"
"FBgn0011832"	"CG17240"	"Ser12"	"serine carboxypeptidase serine-type endopeptidase"
"FBgn0011834"	"CG2071"	"Ser6 "	"serine-type peptidase serine-type endopeptidase"
"FBgn0012037"	"CG8827"	"Ance"	"peptidyl-dipeptidase A zinc ion binding extracellular peptidyl-dipeptidase"
"FBgn0012042"	"CG10146"	"AttA"	"antibacterial peptide Gram-negative antibacterial peptide antibacterial humoral response (sensu Invertebrata)"
"FBgn0013279"	"CG6489"	"Hsp70Bc"	"heat shock protein response to heat"
"FBgn0013733"	"CG18076"	"shot"	"cytoskeletal protein binding actin binding microtubule binding cytoskeleton microtubule cytoskeleton microtubule-based process regulation of axon extension muscle development muscle attachment determination of muscle attachment site dendrite morphogenesis tracheal system development (sensu Insecta)"
"FBgn0013763"	"CG5210"	"Chit"	"chitinase extracellular cuticle chitin catabolism"
"FBgn0013767"	"CG3302"	"Crz"	"neuropeptide hormone neuropeptide signaling pathway"
"FBgn0013770"	"CG6692"	"Cp1"	"cathepsin L lysosome protein catabolism"
"FBgn0013810"	"CG5526"	"Dhc36C"	"dynein ATPase motor cytoplasmic dynein complex microtubule associated complex microtubule-based movement"
"FBgn0013812"	"CG3723"	"Dhc93AB"	"dynein ATPase motor cytoplasmic dynein complex microtubule associated complex microtubule-based movement"
"FBgn0013949"	""	"Ela"	""
"FBgn0013953"	"CG7005"	"Esp"	"sulfate porter sulfate transport"
"FBgn0013973"	"CG1470"	"Gycbeta100B"	"cGMP biosynthesis guanylate cyclase guanylate cyclase complex, soluble"
"FBgn0013997"	"CG6827"	"Nrx"	"intercellular junction assembly and/or maintenance protein localization dorsal closure septate junction septate junction assembly synaptic vesicle docking synaptic vesicle targeting integral to membrane establishment of blood/nerve barrier integral to plasma membrane plasma membrane transmembrane receptor"
"FBgn0014009"	"CG3269"	"Rab2"	"GTP binding RAB small monomeric GTPase Rho small monomeric GTPase"
"FBgn0014022"	""	"Rlb1"	""
